VideoId,Title,PublishedAt,ChannelId,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,CommentCount
aDKoRBtJU-M,Why I Deleted All My Videos...,2023-11-29T20:27:50Z,UCvj3hNvwrEgTRkeut7_cBAQ,JiDion,Entertainment,859634,80806,0,15171
U_M_uvDChJQ,Elon Musk to advertisers who are trying to ‘blackmail’ him: ‘Go f--- yourself’,2023-11-30T00:13:57Z,UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,News & Politics,1365798,37498,0,14927
UU_B6R7hZ2o,El Niño Is About To Completely Change Our Weather…,2023-11-29T21:48:19Z,UCJHAT3Uvv-g3I8H3GhHWV7w,"Ryan Hall, Y'all",Entertainment,1291930,58068,0,1352
0bxhAxRmrJw,Drake - Polar Opposites,2023-11-29T17:00:10Z,UCByOQJjav0CUDwxCk-jVNRQ,Drake,Music,1639121,109876,0,9853
4YfZkq4fiqs,"Jalen's Walks Off, Chiefs Offense Bounces Back and ""The Gang Starts a Bidding War"" | Ep 66",2023-11-29T14:30:10Z,UCVRm2Ho8cL3lvWDyp2ayuFw,New Heights,Sports,1087269,29255,0,2697
FUHkTs-Ipfg,The SAT Question Everyone Got Wrong,2023-11-30T14:13:48Z,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,Education,1006726,70188,0,4496
J2dzXSsATmY,The 2 Man Mission,2023-11-29T20:00:06Z,UCOuwU6aYcIgpKDdbekbUS2Q,ChainsFR,People & Blogs,625575,46787,0,2568
pQq9eP5OFhw,Taylor Swift - You're Losing Me (From The Vault),2023-11-29T13:00:47Z,UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,Music,1384558,179022,0,12065
aq2Vt7OvQG0,ted | Official Trailer | Peacock Original,2023-11-29T16:30:00Z,UCPgMAS8woHJ_o_OZdTR7kcQ,Peacock,Entertainment,953404,41242,0,1524
sctgA2qa-rA,Elon Musk: I disagree with the idea of unions,2023-11-30T00:41:32Z,UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,News & Politics,388336,5449,0,2351
gRFtEI37x1Q,The Cryptid Iceberg Begins,2023-11-29T01:42:10Z,UC3cpN6gcJQqcCM6mxRUo_dA,Wendigoon,Entertainment,1064679,94974,0,9344
47op34VPbjc,"The Patriarch Christian Cage responds to Adam Copeland’s challenge! | 11/29/23, AEW Dynamite",2023-11-30T03:40:00Z,UCFN4JkGP_bVhAdBsoV9xftA,All Elite Wrestling,Sports,688337,20772,0,1389
aaodJqJ2o60,Everything Wrong With Airbnb,2023-11-29T20:11:32Z,UC-oYqxpi6TO1J7BjQksSuOA,gabi belle,Comedy,216228,17603,0,1224
nVmDIdcP6dA,Minecraft's Most Impressive Hardcore Worlds,2023-11-29T21:55:24Z,UCIDQSqdVuNwtfRMKqfX-o7g,Sipover,People & Blogs,451441,24943,0,2231
pSn2ZJ5pmVQ,Casually Explained: Break-Ups,2023-11-29T14:30:18Z,UCr3cBLTYmIK9kY0F_OdFWFQ,Casually Explained,Film & Animation,877480,82898,0,2152
mcsAO9AYc0c,Something Terrible Is Happening in Italy,2023-11-30T14:02:57Z,UCZ4AMrDcNrfy3X6nsU8-rPg,Economics Explained,Education,229177,8536,0,770
9wKC0A0QRDg,UNHhhh ep 222 - Aliens,2023-11-29T20:00:08Z,UCUUUpaMp8DV6KUOfQwoIiLg,WOWPresents,Entertainment,334236,22120,0,865
Aa4Rlkjqze4,Watching ONLY the FIRST and LAST episode of *THE SUMMER I TURNED PRETTY*,2023-11-29T17:00:08Z,UCF_votze88WRDSEREe9s3aQ,Dylan Is In Trouble,Entertainment,392751,34550,0,2346
QyDAEaxBkkI,AJR - Inertia (Official Video),2023-11-29T20:00:09Z,UCQ5w3fSomzziZfO7neK7eAg,AJR,Music,213358,28317,0,1591
RlvZJxGuz-Q,True Facts: The Science of Real-Life SuperPowers,2023-11-29T17:00:23Z,UCVpankR4HtoAVtYnFDUieYA,Ze Frank,Pets & Animals,400405,38045,0,1223
fIs7Cv1JQdM,"All-Women Cypher Featuring Latto, Flo Milli, Monaleo, Maiya The Don and Mello Buckzz",2023-11-28T20:02:47Z,UCbg_UMjlHJg_19SZckaKajg,XXL,Music,348186,29032,0,2772
RKc8EvkZyKM,ONANA TO BLAME! GALATASARAY 3-3 MANCHESTER UNITED! GOLDBRIDGE Reaction,2023-11-29T20:17:20Z,UCMmVPVb0BwSIOWVeDwlPocQ,The United Stand,Sports,434119,10850,0,1235
mYSdTqwHM-k,My first impressions of Season of the Wish are... ok. But I'm MAD about something.,2023-11-29T03:50:33Z,UCkmAjbIecTIjTQctolYeuDw,Datto,Gaming,367347,21486,0,2040
cV79iPBCCLo,Which Smash Bros characters have canonically eaten Pizza?,2023-11-28T22:39:19Z,UC5UYMeKfZbFYnLHzoTJB1xA,Schaffrillas Productions,Entertainment,455341,34616,0,4184
NEJUuXtmpXM,Our FINISHED Road On The Side Of A Mountain!,2023-11-29T16:26:43Z,UC-l69It3hxAY3tkBH_utLNQ,Life Uncontained,People & Blogs,226507,27936,0,1046
Zc-yMi05vBA,TEKKEN 8 - Steve Fox Reveal & Gameplay Trailer,2023-11-29T14:00:33Z,UC_ntXHv-XdKCD7CPynVvnQw,Bandai Namco Entertainment America,Gaming,577577,30308,0,3951
wrTHa3IL_rU,"Garth Brooks and Trisha Yearwood perform ""Imagine"" at memorial for Rosalynn Carter",2023-11-28T20:00:58Z,UCPsSnSR7ymSE8on3wafNbqg,WSB-TV,News & Politics,507574,3835,0,815
fuFlMtZmvY0,The Internet is Worse Than Ever – Now What?,2023-11-29T15:00:43Z,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Education,2636476,192742,0,15916
DZP452c0ePg,Robocop: Rogue City | Fully Ramblomatic,2023-11-29T17:00:09Z,UC1wZGocgLvopgOqBUFCyIJA,Second Wind,Gaming,286106,32509,0,1240
RumxndBS3OE,THE OG FORTNITE 4 CORNER CHALLENGE,2023-11-29T15:30:09Z,UCXBE_QQSZueB8082ml5fslg,TimTheTatman,Gaming,348963,14546,0,330
TmXe-ZGr5RM,ENA - Power of Potluck,2023-11-28T21:30:11Z,UCmo3YHm8GaHk0ZWovjow65A,Joel G,Entertainment,864816,160012,0,8169
up2r7ZAEcto,THE BIGGEST FIGHT IS HAPPENING | Jujutsu Kaisen Chapter 244 Spoilers/Leaks Coverage,2023-11-29T12:55:29Z,UCZyqZjEHRkwuvESPFa5Esew,FakeWeeb,Entertainment,301189,12063,0,1465
PhlLO3Nb3sY,Night Swim | Official Trailer 2,2023-11-29T16:00:06Z,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,Entertainment,846623,5537,0,731
1ZKBaRsP1gY,"The rise of Xi Jinping, explained",2023-11-28T13:00:01Z,UCLXo7UDZvByw2ixzpQCufnA,Vox,News & Politics,1197611,46526,0,2282
ejyNlaakvZ0,Will this Old Camper RUN & DRIVE Out of the Woods?,2023-11-29T00:44:35Z,UCS87-wYrvmexsLkBj0jhrnQ,Junkyard Digs,Autos & Vehicles,258357,23344,0,1599
fYgNqg6V8do,Half in the Bag: 2023 Catch-up (Part 1),2023-11-28T17:13:16Z,UCrTNhL_yO3tPTdQ5XgmmWjA,RedLetterMedia,Entertainment,577295,25469,0,2278
FGouJkBD0ps,blink-182 - ANTHEM PART 3 (Live Performance Video),2023-11-29T16:00:08Z,UCdvlHk5SZWwr9HjUcwtu8ng,blink-182,Music,247234,17782,0,969
DgHgEDiWN_Q,Jimmy Carter arrives for his late wife Rosalynn Carter's tribute service,2023-11-28T18:56:25Z,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,News & Politics,1788665,14796,0,3092
UOwNXG8pTq8,DBFZ - Shenanigoons vs The Three Idiots: REMATCH,2023-11-27T23:00:55Z,UC8kCtPyCPg50n3XjmjRraGw,Lythero,Gaming,1288306,110254,0,4080
PK5iAam9EX4,Nothing Left to Give (Short Film),2023-11-28T20:16:30Z,UCITqR49EAUY8i1vZtXTwe-A,Dolan Twins,Film & Animation,256798,24969,0,0
ZkiiyJYaXkQ,Steve-O Eats His Last Meal,2023-11-28T11:00:27Z,UCXGR70CkW_pXb8n52LzCCRw,Mythical Kitchen,Entertainment,694879,29374,0,1405
BWiNtSr3RUc,Destiny 2: Season of the Wish | Launch Trailer,2023-11-28T15:00:06Z,UC52XYgEExV9VG6Rt-6vnzVA,Destiny 2,Gaming,504345,17834,0,2052
CavD06H-HLc,"Seth Rollins calls CM Punk hypocrite, reveals Jey Uso as World Heavyweight Title opponent",2023-11-28T03:33:21Z,UCgKpcxVyF0qXU1h_Irzd7XA,WWE ON FOX,Sports,480874,10508,0,1293
DBVAAnq1dHo,How to Spend 14 Days in JAPAN 🇯🇵 Ultimate Travel Itinerary,2023-11-28T18:05:39Z,UCHL9bfHTxCMi-7vfxQ-AYtg,Abroad in Japan,Entertainment,625402,37094,0,1617
-5OoFSv6FYA,Bethesda responds (badly) to negative Starfield reviews | This Week In Videogames,2023-11-29T13:45:39Z,UCZ7AeeVbyslLM_8-nVy2B8Q,Skill Up,Gaming,282306,23573,0,2419
iE18uraHOcs,DIY Drones: War Will Never be the Same,2023-11-29T13:00:40Z,UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris,News & Politics,614474,23075,0,2126
Rj4W1efeO6Q,ATEEZ(에이티즈) - '미친 폼 (Crazy Form)' Official MV Teaser 1,2023-11-29T05:00:02Z,UCQdq-lqPEq_yZ_wP_kuVB9Q,KQ ENTERTAINMENT,Music,361396,74486,0,3182
1X1GCxdpZSg,"*INSANELY RARE* BLACK WIDOW OUTFIT IS BACK! Fortnite Item Shop [November 28th, 2023] (Fortnite OG)",2023-11-29T00:11:29Z,UCIZP6nCTyU9VV0zIhY7q1Aw,I Talk,Gaming,237680,8009,0,2508
eyv-FBgnnAY,Murdaugh sentenced for financial crimes in day-long hearing filled with raw emotions,2023-11-29T01:09:37Z,UCunkVlKjHWCJ6OKfffus19Q,ABC News 4,News & Politics,105526,1308,0,401
eM9vqYBYEdU,I'm not passionate in art anymore,2023-11-29T13:19:19Z,UC98FqLb-fljVb4l6e_FdWjw,PEAR哥,Film & Animation,214631,37290,0,1044
ekMsV_QvPtg,DPR IAN - SKINS (demo) M/V,2023-11-29T07:30:08Z,UCtG5oKSlksz-QmD_2uI4WBw,Dream Perfect Regime,Music,221098,50250,0,2285
HMxoPiJuAAc,RANDY ORTON RETURNS TO RAW! | WWE Raw Highlights 11/27/23 | WWE on USA,2023-11-28T01:31:18Z,UCSy3TvvwAV12MD0rLsHyClQ,WWE on USA,Sports,707880,18740,0,1559
RWlmXBh9ye4,Tyla Teaches Jennifer Hudson Her Viral ‘Water’ Dance,2023-11-27T18:28:35Z,UCNgN5oEI2PyODSM6ZijidCg,Jennifer Hudson Show,People & Blogs,1340684,21286,0,844
2AXPSCQHiFY,Binging with Babish: The Every Burger from Rick and Morty,2023-11-28T14:00:02Z,UCJHA_jMfCvEnv-3kRjTCQXw,Babish Culinary Universe,People & Blogs,496259,21113,0,775
6S7T2ieiu54,Three SISTERS Inherit 40 Amazing Barn Finds From FATHER | Barn Find Hunter,2023-11-28T14:30:03Z,UCLgEVx4mzk3T3mzgbKG54Eg,Hagerty,Autos & Vehicles,341362,9322,0,548
WOhAkdr_QdQ,Senators And Panthers Scrum Ends With ALL Players On Ice Receiving Misconducts,2023-11-28T03:04:32Z,UCVhibwHk4WKw4leUt6JfRLg,SPORTSNET,Sports,661972,4736,0,783
-sa_RSkO0Es,Brits try Southern Desserts for the first time!,2023-11-29T15:43:58Z,UCOgGAfSUy5LvEyVS_LF5kdw,JOLLY,Entertainment,545933,31024,0,1705
4UxjlA2fT5A,DISCONTINUED | Official Trailer,2023-11-28T20:30:16Z,UCA3-nIYWu4PTWkb6NwhEpzg,Ryan Reynolds,Entertainment,264338,11059,0,475
mzwE-8-L5YA,Honest Trailers | Oppenheimer,2023-11-28T18:00:33Z,UCOpcACMWblDls9Z6GERVi1A,Screen Junkies,Film & Animation,616597,26722,0,1211
Wdjh81uH6FU,"$1 vs $10,000,000 Job!",2023-11-25T17:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,Entertainment,81829959,3278648,0,57782
D-36x9Sz15M,Rescue mission frees workers after 17 days,2023-11-29T00:48:13Z,UCTOoRgpHTjAQPk6Ak70u-pA,CNN 10,Education,181493,1400,0,3855
251sQ8Jvs7M,Buying a CUSTOM Can-Am RENEGADE! *NEW MUD FOUR-WHEELER*,2023-11-29T00:22:00Z,UCOxoGn23BBHWghJelrqGkhg,Braydon Price,Entertainment,298330,12390,0,1077
gtlUmJ_UvmI,Man. City vs. RB Leipzig: Extended Highlights | UCL Group Stage MD 5 | CBS Sports Golazo,2023-11-28T22:11:02Z,UCET00YnetHT7tOpu12v8jxg,CBS Sports Golazo,Sports,825076,10192,0,704
5GBFFm8xrTY,"Charlo vs Benavidez Jr HIGHLIGHTS: November 25, 2023 | PBC on Showtime PPV",2023-11-27T23:45:09Z,UCWXYAGB9SadlL6p5Bb66wWw,Premier Boxing Champions,Sports,469213,6108,0,1098
qC2_gOglVvA,I Got EMINEM Early!,2023-11-28T19:01:50Z,UCJAPcllL_VRxUiNKtaLOpzw,More SypherPK,Gaming,503108,17327,0,741
Yam4vv514zs,Apex Legends | Kill Code Part 4,2023-11-27T16:00:07Z,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends,Gaming,992669,46785,0,2602
H1MBYsVamBQ,CM Punk IS BACK! See the epic Survivor Series return: Survivor Series: WarGames 2023 highlights,2023-11-26T04:29:26Z,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Sports,5740061,224033,0,25782
olDWm2veCrM,BABYMONSTER - 'BATTER UP' M/V,2023-11-26T15:00:12Z,UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,People & Blogs,49784228,1701293,0,166838
yXIRdPok0BE,Li Rye - All Alone [Official Music Video],2023-11-27T20:48:27Z,UC7Xge2GIwkMPNjJtCGG9Z4w,Li Rye,People & Blogs,129122,8231,0,435
_Tk43Tsgbms,Moving Aboard our New Boat! (Prepping to Leave Port),2023-11-27T22:00:44Z,UCZdQjaSoLjIzFnWsDQOv4ww,Sailing La Vagabonde,Travel & Events,510018,32931,0,860
pQms4VlRJC8,My favourite mafia movie,2023-11-27T20:00:21Z,UCuwUl4_fcRio_valO7_lxjA,Mike's Mic,Entertainment,358990,33047,0,1283
