UyFb45x_zgA,Tommy Smothers Walks Out As Johnny | Carson Tonight Show,2023-12-27T19:03:33Z,UC7McHNOsrUL2fRxTB_xvgRQ,Johnny Carson,24,602250,4269,0,1140
FVahAjp5_yM,No. 15 Louisville Cardinals vs. USC Trojans Highlights | CFB on FOX,2023-12-28T05:00:57Z,UCpwix-O6ceqMgdxhqIynzFA,CFB ON FOX,17,335370,3605,0,1277
q4kF83sWp0I,Can You Beat an AI Generated Escape Room?,2023-12-28T01:30:30Z,UCiVJZlfcmWMUiXv5oywnDhQ,Wifies,20,268188,17145,0,2088
fOLNEQDflP8,I Tried Dumb TikTok Advice to Rank Up...,2023-12-27T17:38:57Z,UCFmhLDjF1bB6-rbv9TBqeQg,SoaR Milo,20,482186,7380,0,520
0w8YpBjsW6Y,I Tried The Best Pizza In America,2023-12-27T15:30:00Z,UChBEbMKI1eCcejTtmI32UEw,Joshua Weissman,26,985978,37110,0,3702
4IVUEI6U-PU,LOGAN PAUL - WHY 2023 WAS THE BEST YEAR OF MY LIFE,2023-12-27T19:57:52Z,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul,24,488256,41046,0,966
3xjT-v7U8eE,"USHER, H.E.R. - Risk It All (Official Music Video)",2023-12-27T16:00:11Z,UCU8hEdjK8u27TM7KA8JVIEw,UsherVEVO,10,415556,21674,0,1553
wqHqm6wuGTo,In Loving Memory | Tom Smothers | 1937 - 2023 | If I Had A Ship,2023-12-27T23:49:38Z,UCA2QfK-lVdi2j3LCns0j7LQ,The Smothers Brothers,23,394001,12235,0,1376
sCxWGlIwZ2k,New TOWER TROOP Reveal! (New Update),2023-12-26T16:00:25Z,UC_F8DoJf9MZogEOU51TpTbQ,Clash Royale,20,3938035,151512,0,3641
QV4JqaDolEc,"""Wacky World"" Official Lyric Video 🎵 - The Amazing Digital Circus Music Video",2023-12-27T18:00:13Z,UCyC3GfXxMiVd2BvwECJUGmg,ZAMination 2,22,801117,12946,0,651
Ignr0g9ZHB0,Open Thoughts with Nicki Minaj,2023-12-25T18:30:09Z,UCNWHllkNIWv1MSvKcOzLsow,Open Thoughts,24,2597945,104524,0,10876
yJArc9jgGzs,The World’s Most Isolated Hotels,2023-12-26T17:09:32Z,UCv6RbK5kLN0hXKk8b8q62bA,Socks,24,943560,30893,0,3636
FEQ7UJxQ2rI,SPENDING 24 HOURS IN NYC WITH MY SISTERS *Vlogmas Special!*,2023-12-27T13:00:11Z,UCSGoIq_tVESqNYF1Re-zn1Q,HJ Evelyn,24,508071,28540,0,1121
ZzuMEWj8GDs,THE STRONGEST FOOTBALL PLAYERS EVER WENT AT IT! (OL vs DL 1on1’s for $10K),2023-12-26T22:31:13Z,UC4mLlRa_dezwvytudo9s1sw,Deestroying,24,560606,23732,0,1462
HC886AMkYoQ,i almost DIED hiking,2023-12-26T18:00:06Z,UCXMwCQVey4PhdWFJ6WhAVhA,SocksStudios,23,893846,23991,0,1886
9TGtM65Djsc,Donating to small streamers,2023-12-27T01:21:59Z,UCKt6UNcaVIS258z9Gujeirw,Crispy Concords,24,398489,31623,0,2111
SvK9nJ2G478,Manchester United v. Aston Villa | PREMIER LEAGUE HIGHLIGHTS | 12/26/2023 | NBC Sports,2023-12-26T22:24:52Z,UCqZQlzSHbVJrwrn5XvzrzcA,NBC Sports,17,1011346,16050,0,1432
IeEmA4ag6hA,10 Things You Should ALWAYS Buy RIGHT AFTER Christmas!,2023-12-26T16:31:50Z,UC5Qbo0AR3CwpmEq751BIy0g,The Deal Guy,28,881229,58953,0,1307
QQEgdODSdVc,Dodge Magnum SRT8 Quick Review,2023-12-27T16:55:46Z,UCfzWwxboCLyLw7KVfQj84eA,Extra Throttle House,22,186569,9910,0,631
5BeOh1XHAVI,GARNACHO & HOJLUND TO THE RESCUE! 🤩 | Man Utd 3-2 Aston Villa | Highlights,2023-12-27T00:00:01Z,UC6yW44UGJJBvYTlfC7CRg2Q,Manchester United,17,6499135,140853,0,4471
2NzuR5OLvnQ,Lil Uzi Vert - Red Moon [Official Music Video],2023-12-25T20:12:50Z,UCqwxMqUcL-XC3D9-fTP93Mg,LIL UZI VERT,10,1823390,150519,0,9540
NtHShhx0LcY,Courage and the Big Meanie,2023-12-26T20:00:08Z,UC2d0Cp7XABGb3zpomS0d-WA,Doobus Goobus,1,400134,69029,0,3184
nBHKqRoV8AU,Locked on ONE CHUNK But We’re SUPERHEROES!,2023-12-26T16:00:27Z,UC0eLBYhxW9HC0P9PXQ73mpQ,Cash,24,920766,13185,0,754
WR4QN40pDoM,Giants vs Eagles | 2023 Week 16 Highlights,2023-12-26T01:57:08Z,UCaogx6OHpsGg0zuGRKsjbtQ,Philadelphia Eagles,17,485414,4442,0,809
gPjUhL6DBng,16-year-old girl chases horse on highway,2023-12-25T14:30:13Z,UCz2RMMEv5CNrOKJhs7BvLpw,We Love Animals,15,2987245,7445,0,540
wRwaVF-M0qo,Pranking My Sister with Bad Christmas Gifts (Gift Exchange),2023-12-27T00:01:50Z,UCuVHOs0H5hvAHGr8O4yIBNQ,Niki and Gabi,26,183279,11409,0,329
be0k48hE4mQ,WORLDS CRAZIEST FAMILY CHRISTMAS GIFTS OPENING!! (NEW CAR),2023-12-25T17:39:47Z,UCilwZiBBfI9X6yiZRzWty8Q,FaZe Rug,24,3003876,125661,0,6339
BTVyr0cSDw8,Beta Squad Guess The Youtuber Ft Niko (REMATCH),2023-12-26T17:01:02Z,UC56CIdqj-Ski8Jt6brXGE3A,More Aj,24,1102541,99750,0,852
